player_id,family_name,given_name,wikipedia_title,reason
P-85473,Burbano,Juan Carlos,Juan_Carlos_Burbano,no_image_on_page
P-85474,Jiménez,Julio César,Julio_César_Jiménez,no_image_on_page
P-85488,Ogebe,Alice,Alice_Ogebe,no_image_on_page
P-85493,Yamaguchi,Sayuri,Sayuri_Yamaguchi,no_image_on_page
P-85545,Paulson,Anna,Anna_Paulson_(footballer),no_image_on_page
P-85546,Kacou,Raymonde,Raymonde_Kacou,no_image_on_page
P-85561,Liu,Sa,Liu_Sa,no_image_on_page
P-85613,Pérez,Hugo,Hugo_Pérez_(soccer),no_image_on_page
P-85614,Coultard,Gillian,Gillian_Coultard,no_image_on_page
P-85624,Moshoeu,John,John_Moshoeu,no_image_on_page
P-85637,Gambetta,Schubert,Schubert_Gambetta,no_image_on_page
P-85660,McMurtrie,Louise,Louise_McMurtrie,no_image_on_page
P-85684,Cisneros,Ernesto,Ernesto_Cisneros,no_image_on_page
P-85695,Zielinski,Paul,Paul_Zielinski,no_image_on_page
P-85724,Gemmill,Scot,Scot_Gemmill,no_image_on_page
P-85729,Fernández,Gustavo,Gustavo_Fernández_(Uruguayan_footballer),no_image_on_page
P-85736,Fernández,Ángel,Ángel_Fernández,no_image_on_page
P-85798,Santos Silva,Luis,Luis_Santos_Silva,no_image_on_page
P-85808,Pulido,Héctor,Héctor_Pulido,no_image_on_page
P-85817,Kudaisi,Yinka,Yinka_Kudaisi,no_image_on_page
P-85827,Provan,Davie,"David_Provan_(footballer,_born_1956)",no_image_on_page
P-85837,Flores,Luis,Luis_Flores_(Mexican_footballer),no_image_on_page
P-85841,Allahverdi,Javad,Javad_Allahverdi,no_image_on_page
P-85899,Bowie,Mary Beth,Mary_Beth_Bowie,no_image_on_page
P-85922,Hertl,Jan,Jan_Hertl,no_image_on_page
P-85952,Fede,not applicable,Federico_Sáiz,no_image_on_page
P-85966,Vearncombe,Graham,Graham_Vearncombe,no_image_on_page
P-85975,Wallace,Harold,Harold_Wallace,no_image_on_page
P-86017,Lee,Heung-sil,Lee_Heung-sil,no_image_on_page
P-86061,Ordega,Francisca,Francisca_Ordega,no_image_on_page
P-86082,Flores,Salvador,Salvador_Flores_(footballer),no_image_on_page
P-86109,Mesén,Álvaro,Álvaro_Mesén,no_image_on_page
P-86176,Katzirz,Béla,Béla_Katzirz,no_image_on_page
P-86178,Consolante,Linda,Linda_Hathorn,no_image_on_page
P-86201,Rivas,Carlos,"Carlos_Rivas_(footballer,_born_1953)",no_image_on_page
P-86212,Kim,Ju-hee,Kim_Ju-hee,no_image_on_page
P-86226,Mantorras,not applicable,Mantorras,no_image_on_page
P-86268,Oliver,Célestin,Célestin_Oliver,no_image_on_page
P-86293,Henrique,Paulo,Paulo_Henrique_Souza_de_Oliveira,no_image_on_page
P-86300,Nilsson,Annelie,Annelie_Nilsson,no_image_on_page
P-86323,Gallego,Ricardo,Ricardo_Gallego,no_image_on_page
P-86324,Nájera,Manuel,Manuel_Nájera,no_image_on_page
P-86345,Henriksen,René,René_Henriksen,no_image_on_page
P-86401,Schoemaker,Arend,Arend_Schoemaker,no_image_on_page
P-86407,Baidu,Elizabeth,Elizabeth_Baidu,no_image_on_page
P-86464,Moore,Joe-Max,Joe-Max_Moore,no_image_on_page
