player_id,family_name,given_name,wikipedia_title,image_url
P-88110,Quixall,Albert,Albert_Quixall,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Manchester_United_FC_1960.jpg/500px-Manchester_United_FC_1960.jpg
P-57401,Rabiot,Adrien,Adrien_Rabiot,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Adrien_Rabiot_France_v_Senegal_16_June_2026-371_%28cropped%29.jpg/500px-Adrien_Rabiot_France_v_Senegal_16_June_2026-371_%28cropped%29.jpg
P-96497,Rabiu,Mohammed,Mohammed_Rabiu,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Mohammed_Rabiu_2018.jpg/500px-Mohammed_Rabiu_2018.jpg
P-09530,Račić,Uroš,Uroš_Račić,https://upload.wikimedia.org/wikipedia/commons/7/78/Zen-CZ_%2810%29.jpg
P-42532,Radchenko,Dmitri,Dmitri_Radchenko,https://upload.wikimedia.org/wikipedia/commons/b/b4/Dmitri_Radchenko.jpg
P-56543,Radebe,Lucas,Lucas_Radebe,https://upload.wikimedia.org/wikipedia/commons/8/82/Lucas_radebe_cropped.JPG
P-37600,Radhi,Ahmed,Ahmed_Radhi,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/%D8%A7%D8%AD%D9%85%D8%AF_%D8%B1%D8%A7%D8%B6%D9%8A.jpg/500px-%D8%A7%D8%AD%D9%85%D8%AF_%D8%B1%D8%A7%D8%B6%D9%8A.jpg
P-11175,Radice,Luigi,Luigi_Radice,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Luigi_Radice_-_ca._1974.jpg/500px-Luigi_Radice_-_ca._1974.jpg
P-79900,Radonjić,Nemanja,Nemanja_Radonjić,https://upload.wikimedia.org/wikipedia/commons/4/47/Radonjic_2018.jpg
P-06159,Radosavljević,Aleksandar,"Aleksandar_Radosavljević_(footballer,_born_1979)",https://upload.wikimedia.org/wikipedia/commons/3/36/Aleksandar_Radosavljevic.jpg
P-25779,Radosavljević,Predrag,Preki,https://upload.wikimedia.org/wikipedia/commons/0/0c/PREKI.jpg
P-04931,Răducanu,Necula,Necula_Răducanu,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Ric%C4%83_R%C4%83ducanu_1966.jpg/500px-Ric%C4%83_R%C4%83ducanu_1966.jpg
P-69340,Răducioiu,Florin,Florin_Răducioiu,https://upload.wikimedia.org/wikipedia/commons/e/e5/Florin_Raducioiu_-_16_June_2018_%28cropped%29.jpg
P-01246,Rafaat,Ismail,Ismail_Rafaat,https://upload.wikimedia.org/wikipedia/commons/0/09/Ismail_Raafat_%28footballer%29.jpg
P-04136,Rafaelle,not applicable,Rafaelle_Souza,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Rafaelle_Souza_-_Rio_2016.jpg/500px-Rafaelle_Souza_-_Rio_2016.jpg
P-07972,Raffinsky,László,László_Raffinsky,https://upload.wikimedia.org/wikipedia/commons/4/40/Raffinsky_Laszlo.jpg
P-23163,Rafinha,not applicable,Rafaela_de_Miranda_Travalão,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/20161005_UWCL_StPoelten_Brondby_DSC_6584.jpg/500px-20161005_UWCL_StPoelten_Brondby_DSC_6584.jpg
P-94579,Rahman,Baba,Baba_Rahman,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Ghana_national_Baba_Rahman.jpg/500px-Ghana_national_Baba_Rahman.jpg
P-15489,Rahmani,Bakhtiar,Bakhtiar_Rahmani,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Iran_vs._Angola_2014-05-30_%28199%29.jpg/500px-Iran_vs._Angola_2014-05-30_%28199%29.jpg
P-08136,Rahn,Helmut,Helmut_Rahn,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Helmut_Rahn.jpg/500px-Helmut_Rahn.jpg
P-93386,Raí,not applicable,Raí,https://upload.wikimedia.org/wikipedia/commons/0/02/Rai_em_2009_cropped.jpg
P-24259,Rajkov,Zdravko,Zdravko_Rajkov,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Zdravko_Rajkov_2.jpg/500px-Zdravko_Rajkov_2.jpg
P-35773,Rajković,Predrag,Predrag_Rajković,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Predrag_Rajkovi%C4%87_2018.jpg/500px-Predrag_Rajkovi%C4%87_2018.jpg
P-65979,Rakitić,Ivan,Ivan_Rakitić,https://upload.wikimedia.org/wikipedia/commons/f/f0/Ivan_Rakiti%C4%87_2020_%28cropped%29.jpg
P-30138,Rákosi,Gyula,Gyula_Rákosi,https://upload.wikimedia.org/wikipedia/commons/9/9d/R%C3%A1kosi_Gyula_2011.jpg
P-11369,Ramalepe,Lebogang,Lebogang_Ramalepe,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Lebogang_Ramalepe.jpg/500px-Lebogang_Ramalepe.jpg
P-72288,Ramallets,Antoni,Antoni_Ramallets,https://upload.wikimedia.org/wikipedia/commons/8/88/Antoni_Ramallets%2C_Estadio%2C_1950-06-03_%28368%29_%28cropped%29.jpg
P-59735,Ramé,Ulrich,Ulrich_Ramé,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Ulrich_Rame.jpg/500px-Ulrich_Rame.jpg
P-57588,Ramelow,Carsten,Carsten_Ramelow,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Carsten_Ramelow_in_2014.jpg/500px-Carsten_Ramelow_in_2014.jpg
